Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-02-28,42.41,42.650002,42.07,42.25,40.427864,20000,0
2014-03-03,42.02,42.18,41.689999,42.080002,40.26519,11400,1
2014-03-04,42.830002,43.02,42.700001,42.959999,41.107243,34900,2
2014-03-05,43.09,43.09,42.849998,42.990002,41.135956,37200,3
2014-03-06,43.099998,43.290001,42.91,42.970001,41.11681,23200,4
2014-03-07,42.869999,43.060001,42.68,42.900002,41.049843,14200,5
2014-03-10,42.98,42.98,42.540001,42.689999,40.848888,7400,6
2014-03-11,42.580002,42.860001,42.220001,42.32,40.494843,16900,7
2014-03-12,41.939999,42.43,41.939999,42.369999,40.542686,32200,8
2014-03-13,42.799999,42.799999,41.759998,41.869999,40.064247,27100,9
2014-03-14,41.98,42.130001,41.880001,41.93,40.121658,36600,10
2014-03-17,42.049999,42.360001,42.049999,42.240002,40.418308,8700,11
2014-03-18,42.380001,42.560001,42.360001,42.529999,40.695778,12800,12
2014-03-19,42.650002,42.650002,42.040001,42.25,40.427864,8500,13
2014-03-20,42.150002,42.290001,41.869999,42.27,40.447002,4200,14
2014-03-21,42.970001,42.970001,42.040001,42.049999,40.261253,7400,15
2014-03-24,42.27,42.27,40.959999,41.34,39.581455,139000,16
2014-03-25,41.299999,41.299999,40.790001,40.990002,39.246342,6300,17
2014-03-26,41.080002,41.130001,40.43,40.43,38.710178,6600,18
2014-03-27,40.200001,40.279999,39.98,40.27,38.556973,38200,19
2014-03-28,40.389999,40.950001,40.389999,40.490002,38.767628,12000,20
2014-03-31,41.049999,41.049999,40.790001,40.830002,39.093159,9900,21
2014-04-01,41.43,41.84,41.419998,41.84,40.060192,36800,22
2014-04-02,41.900002,41.990002,41.75,41.970001,40.184658,71700,23
2014-04-03,41.98,42.040001,41.330002,41.43,39.667629,20300,24
2014-04-04,41.549999,41.549999,40.200001,40.330002,38.614426,7700,25
2014-04-07,40.040001,40.09,38.970001,39.389999,37.714409,53300,26
2014-04-08,39.450001,40.02,39.209999,40.02,38.317616,9600,27
2014-04-09,40.18,40.75,40.02,40.75,39.016556,54000,28
2014-04-10,40.790001,40.790001,39.41,39.52,37.838882,64500,29
2014-04-11,39.060001,39.639999,38.669998,38.82,37.168655,11900,30
2014-04-14,38.880001,39.330002,38.810001,38.880001,37.226101,25000,31
2014-04-15,39.389999,39.41,38.25,38.959999,37.3027,17400,32
2014-04-16,39.68,39.869999,39.439999,39.869999,38.173996,4800,33
2014-04-17,40.060001,40.200001,39.950001,39.950001,38.250584,5500,34
2014-04-21,39.950001,40.290001,39.790001,40.290001,38.57613,13400,35
2014-04-22,40.59,40.900002,40.580002,40.900002,39.160187,12100,36
2014-04-23,40.990002,40.990002,40.41,40.450001,38.729324,6100,37
2014-04-24,40.630001,40.630001,40.290001,40.450001,38.729324,5600,38
2014-04-25,40.470001,40.470001,39.240002,39.279999,37.609093,26700,39
2014-04-28,39.779999,39.779999,38.299999,38.990002,37.331417,6400,40
2014-04-29,39.110001,39.490002,39.099998,39.470001,37.791,20900,41
2014-04-30,39.439999,39.689999,39.259998,39.689999,38.001648,20800,42
2014-05-01,40,40.330002,39.939999,40.02,38.317616,27100,43
2014-05-02,40.310001,40.310001,40.189999,40.310001,38.595272,3600,44
2014-05-05,40.169998,40.48,39.919998,40.380001,38.6623,19700,45
2014-05-06,40.240002,40.240002,39.709999,39.720001,38.030376,2400,46
2014-05-07,39.259998,39.369999,39.009998,39.34,37.666531,5500,47
2014-05-08,39.68,39.799999,38.889999,39.049999,37.38887,17000,48
2014-05-09,38.939999,39.25,38.939999,39.25,37.580372,3400,49
2014-05-12,39.540001,40.189999,39.540001,40.189999,38.48037,3800,50
2014-05-13,40.099998,40.240002,39.990002,40.099998,38.394203,5700,51
2014-05-14,39.959999,39.959999,39.669998,39.689999,38.001648,15100,52
2014-05-15,39.540001,39.540001,38.869999,39.400002,37.723988,9600,53
2014-05-16,39.049999,39.560001,39.049999,39.560001,37.877171,8600,54
2014-05-19,39.389999,40.060001,39.389999,40.060001,38.355915,3000,55
2014-05-20,39.630001,39.75,39.419998,39.419998,37.743126,1700,56
2014-05-21,39.98,40.150002,39.810001,40.150002,38.442081,5000,57
2014-05-22,40.259998,40.639999,40.259998,40.52,38.796345,18100,58
2014-05-23,40.52,41.080002,40.52,41.080002,39.332512,5500,59
2014-05-27,41.360001,41.540001,41.330002,41.5,39.734646,9500,60
2014-05-28,41.5,41.599998,41.169998,41.540001,39.772949,7200,61
2014-05-29,41.619999,41.709999,41.540001,41.650002,39.878262,4700,62
2014-05-30,41.650002,41.650002,41.389999,41.470001,39.705925,11600,63
2014-06-02,41.400002,41.66,41.240002,41.560001,39.792091,8000,64
2014-06-03,41.560001,41.560001,41.41,41.549999,39.782524,20000,65
2014-06-04,41.439999,41.889999,41.439999,41.880001,40.098499,4000,66
2014-06-05,41.619999,42.130001,41.599998,42.049999,40.261253,12400,67
2014-06-06,42.299999,42.369999,42.279999,42.349998,40.548496,4900,68
2014-06-09,42.330002,42.369999,42.060001,42.099998,40.30912,12900,69
2014-06-10,41.91,41.98,41.91,41.93,40.146358,2200,70
2014-06-11,41.919998,42.09,41.830002,42.09,40.299557,2400,71
2014-06-12,41.93,41.93,41.34,41.34,39.581455,3500,72
2014-06-13,41.299999,41.529999,41.299999,41.470001,39.705925,2200,73
2014-06-16,41.59,41.689999,41.32,41.689999,39.916573,2200,74
2014-06-17,41.630001,42.119999,41.630001,41.970001,40.184658,7600,75
2014-06-18,41.849998,42.439999,41.849998,42.369999,40.567638,15800,76
2014-06-19,42.439999,42.439999,42.209999,42.32,40.519764,3800,77
2014-06-20,42.34,42.34,42.130001,42.290001,40.505405,2600,78
2014-06-23,42.200001,42.400002,42.200001,42.400002,40.610771,3300,79
2014-06-24,42.66,42.779999,42.169998,42.189999,40.409634,7400,80
2014-06-25,41.91,42.619999,41.91,42.619999,40.821476,3700,81
2014-06-26,42.639999,42.639999,42.470001,42.599998,40.802338,3600,82
2014-06-27,42.549999,42.720001,42.549999,42.669998,40.86937,2600,83
2014-06-30,42.57,42.849998,42.57,42.73,40.926842,5700,84
2014-07-01,43,43.330002,43,43.330002,41.501526,1500,85
2014-07-02,43.040001,43.18,42.869999,42.869999,41.060932,6000,86
2014-07-03,43.240002,43.360001,43.240002,43.330002,41.501526,3000,87
2014-07-07,43.189999,43.189999,42.73,42.73,40.926842,3500,88
2014-07-08,42.009998,42.32,41.900002,42.25,40.467094,3200,89
2014-07-09,42.57,42.66,42.540001,42.630001,40.831062,6300,90
2014-07-10,42,42.73,41.880001,42.459999,40.668228,10400,91
2014-07-11,42.450001,42.599998,42.259998,42.419998,40.629917,8000,92
2014-07-14,42.610001,42.790001,42.59,42.669998,40.86937,3700,93
2014-07-15,42.599998,42.639999,42.240002,42.43,40.639496,3800,94
2014-07-16,42.43,42.509998,42.310001,42.32,40.534138,4900,95
2014-07-17,42.139999,42.41,41.580002,41.630001,39.873253,5400,96
2014-07-18,42.040001,42.299999,42.040001,42.299999,40.514992,2000,97
2014-07-21,41.959999,42.189999,41.959999,42.07,40.294689,8600,98
2014-07-22,42.189999,42.360001,42.189999,42.259998,40.476669,80900,99
2014-07-23,42.209999,42.650002,42.209999,42.529999,40.735271,8600,100
2014-07-24,42.669998,42.889999,42.610001,42.68,40.878948,6300,101
2014-07-25,42.57,42.639999,42.369999,42.470001,40.677814,8100,102
2014-07-28,42.299999,42.349998,42.259998,42.299999,40.514992,2300,103
2014-07-29,42.459999,42.459999,42.25,42.25,40.467094,4900,104
2014-07-30,41.790001,41.98,41.790001,41.950001,40.179752,1800,105
2014-07-31,41.599998,41.599998,41.119999,41.139999,39.403934,4100,106
2014-08-01,41.07,41.279999,40.959999,41.220001,39.480564,16000,107
2014-08-04,41.450001,41.630001,41.220001,41.630001,39.873253,3900,108
2014-08-05,41.419998,41.779999,41.279999,41.279999,39.538021,4300,109
2014-08-06,41,41.57,41,41.43,39.681705,4500,110
2014-08-07,41.75,41.75,41.41,41.41,39.662537,800,111
2014-08-08,41.459999,41.830002,41.459999,41.830002,40.064819,1500,112
2014-08-11,42.200001,42.380001,42.200001,42.209999,40.428783,3300,113
2014-08-12,42.240002,42.240002,41.810001,41.810001,40.045666,3200,114
